Date,residuals,dow,month,dom,yest_volume,yest_p_diff,CNN-2,CNN-dif-2,y_lag_1,y_lag_2,y_lag_3,y_lag_4,y_lag_5,y_lag_6
2023-03-24,0.6156597137451172,4,3,24,74010410.0,-0.004111074680319795,33.0,-7.0,0.4839200210571448,-7.158445968627916,4.092145118713404,2.672037353515634,-7.881296882629385,6.081037864685072
2023-03-27,-1.0626647567748932,0,3,27,62871680.0,-0.00042972699696652947,37.0,4.0,0.6156597137451172,0.4839200210571448,-7.158445968627916,4.092145118713404,2.672037353515634,-7.881296882629385
2023-03-28,-4.517896080017067,1,3,28,77497880.0,0.0035505170051077896,38.0,1.0,-1.0626647567748932,0.6156597137451172,0.4839200210571448,-7.158445968627916,4.092145118713404,2.672037353515634
2023-03-29,3.622423744201683,2,3,29,69840050.0,-0.0009660639088431666,38.0,0.0,-4.517896080017067,-1.0626647567748932,0.6156597137451172,0.4839200210571448,-7.158445968627916,4.092145118713404
2023-03-30,0.2790519714355355,3,3,30,112062600.0,0.011553775128850146,40.0,2.0,3.622423744201683,-4.517896080017067,-1.0626647567748932,0.6156597137451172,0.4839200210571448,-7.158445968627916
2023-03-31,4.011217727661119,4,3,31,67391100.0,0.0051101107190654966,45.0,5.0,0.2790519714355355,3.622423744201683,-4.517896080017067,-1.0626647567748932,0.6156597137451172,0.4839200210571448
2023-04-03,0.8672039031982308,0,4,3,66601530.0,-0.007218538184843489,60.0,15.0,4.011217727661119,0.2790519714355355,3.622423744201683,-4.517896080017067,-1.0626647567748932,0.6156597137451172
2023-04-04,-4.522365646362289,1,4,4,65200240.0,-0.0007605495583905845,55.0,-5.0,0.8672039031982308,4.011217727661119,0.2790519714355355,3.622423744201683,-4.517896080017067,-1.0626647567748932
2023-04-05,-3.1398405075073015,2,4,5,63743350.0,0.005914123023534338,53.0,-2.0,-4.522365646362289,0.8672039031982308,4.011217727661119,0.2790519714355355,3.622423744201683,-4.517896080017067
2023-04-06,-2.1322103118896507,3,4,6,63681040.0,0.007324039940431142,56.0,3.0,-3.1398405075073015,-4.522365646362289,0.8672039031982308,4.011217727661119,0.2790519714355355,3.622423744201683
2023-04-10,-0.9834514999389512,0,4,10,59297950.0,-0.001317973250024318,59.0,3.0,-2.1322103118896507,-3.1398405075073015,-4.522365646362289,0.8672039031982308,4.011217727661119,0.2790519714355355
2023-04-11,-1.5431635665893282,1,4,11,86420380.0,-0.009361597843401527,59.0,0.0,-0.9834514999389512,-2.1322103118896507,-3.1398405075073015,-4.522365646362289,0.8672039031982308,4.011217727661119
2023-04-12,-2.738819313049305,2,4,12,85814750.0,0.010375601615594893,60.0,1.0,-1.5431635665893282,-0.9834514999389512,-2.1322103118896507,-3.1398405075073015,-4.522365646362289,0.8672039031982308
2023-04-13,5.09433052062991,3,4,13,78161500.0,-0.000848567133782725,60.0,0.0,-2.738819313049305,-1.5431635665893282,-0.9834514999389512,-2.1322103118896507,-3.1398405075073015,-4.522365646362289
2023-04-14,-2.125581779480001,4,4,14,66436400.0,0.003792820215490151,69.0,9.0,5.09433052062991,-2.738819313049305,-1.5431635665893282,-0.9834514999389512,-2.1322103118896507,-3.1398405075073015
2023-04-17,0.9334024810790993,0,4,17,63560000.0,-0.0033075010260495996,67.0,-2.0,-2.125581779480001,5.09433052062991,-2.738819313049305,-1.5431635665893282,-0.9834514999389512,-2.1322103118896507
2023-04-18,-1.6727037811279502,1,4,18,55227330.0,0.004636113391606605,69.0,2.0,0.9334024810790993,-2.125581779480001,5.09433052062991,-2.738819313049305,-1.5431635665893282,-0.9834514999389512
2023-04-19,-0.16175685882569724,2,4,19,75840360.0,0.0016266873846751868,70.0,1.0,-1.6727037811279502,0.9334024810790993,-2.125581779480001,5.09433052062991,-2.738819313049305,-1.5431635665893282
2023-04-20,-2.6772481155395553,3,4,20,73457420.0,2.4260067928168134e-05,69.0,-1.0,-0.16175685882569724,-1.6727037811279502,0.9334024810790993,-2.125581779480001,5.09433052062991,-2.738819313049305
2023-04-21,0.20193595886229332,4,4,21,64332100.0,0.001551026343213015,65.0,-4.0,-2.6772481155395553,-0.16175685882569724,-1.6727037811279502,0.9334024810790993,-2.125581779480001,5.09433052062991
2023-04-24,1.271424179077144,0,4,24,97766720.0,-0.011081560283687944,65.0,0.0,0.20193595886229332,-2.6772481155395553,-0.16175685882569724,-1.6727037811279502,0.9334024810790993,-2.125581779480001
2023-04-25,-7.147778434753434,1,4,25,80447050.0,-0.005836383420714249,64.0,-1.0,1.271424179077144,0.20193595886229332,-2.6772481155395553,-0.16175685882569724,-1.6727037811279502,0.9334024810790993
2023-04-26,-2.491347923278795,2,4,26,92968370.0,0.013118013627215696,55.0,-9.0,-7.147778434753434,1.271424179077144,0.20193595886229332,-2.6772481155395553,-0.16175685882569724,-1.6727037811279502
2023-04-27,5.674234542846705,3,4,27,89433140.0,0.010674873175774764,53.0,-2.0,-2.491347923278795,-7.147778434753434,1.271424179077144,0.20193595886229332,-2.6772481155395553,-0.16175685882569724
2023-04-28,3.7894284057617256,4,4,28,62122250.0,9.626723785219037e-05,58.0,5.0,5.674234542846705,-2.491347923278795,-7.147778434753434,1.271424179077144,0.20193595886229332,-2.6772481155395553
2023-05-01,-0.35790084838868097,0,5,1,103998500.0,-0.009565767695453234,60.0,2.0,3.7894284057617256,5.674234542846705,-2.491347923278795,-7.147778434753434,1.271424179077144,0.20193595886229332
2023-05-02,-4.29261222839358,1,5,2,91531770.0,-0.008185873241507848,58.0,-2.0,-0.35790084838868097,3.7894284057617256,5.674234542846705,-2.491347923278795,-7.147778434753434,1.271424179077144
2023-05-03,-2.0761713790893737,2,5,3,94901860.0,-0.0044430182904253235,53.0,-5.0,-4.29261222839358,-0.35790084838868097,3.7894284057617256,5.674234542846705,-2.491347923278795,-7.147778434753434
2023-05-04,-3.716375465393071,3,5,4,87891790.0,0.00901534061992577,57.0,4.0,-2.0761713790893737,-4.29261222839358,-0.35790084838868097,3.7894284057617256,5.674234542846705,-2.491347923278795
2023-05-05,7.021952514648433,4,5,5,50046770.0,-0.0005572515384988569,52.0,-5.0,-3.716375465393071,-2.0761713790893737,-4.29261222839358,-0.35790084838868097,3.7894284057617256,5.674234542846705
2023-05-08,-1.0002601242065339,0,5,8,49220120.0,-0.00048670089796312905,60.0,8.0,7.021952514648433,-3.716375465393071,-2.0761713790893737,-4.29261222839358,-0.35790084838868097,3.7894284057617256
2023-05-09,-1.2821515274047783,1,5,9,96142920.0,-0.002494852852125403,60.0,0.0,-1.0002601242065339,7.021952514648433,-3.716375465393071,-2.0761713790893737,-4.29261222839358,-0.35790084838868097
2023-05-10,1.9115329742431868,2,5,10,70157060.0,0.0004367553927159072,59.0,-1.0,-1.2821515274047783,-1.0002601242065339,7.021952514648433,-3.716375465393071,-2.0761713790893737,-4.29261222839358
2023-05-11,0.00454032897948764,3,5,11,70481550.0,-0.004446172161617243,58.0,-1.0,1.9115329742431868,-1.2821515274047783,-1.0002601242065339,7.021952514648433,-3.716375465393071,-2.0761713790893737
2023-05-12,0.8561561965942133,4,5,12,54289380.0,0.0019127866153361025,57.0,-1.0,0.00454032897948764,1.9115329742431868,-1.2821515274047783,-1.0002601242065339,7.021952514648433,-3.716375465393071
